	domain	phylum	class	order	family	genus	species
ASV_270	NA	NA	NA	NA	NA	NA	NA
ASV_271	NA	NA	NA	NA	NA	NA	NA
ASV_272	NA	NA	NA	NA	NA	NA	NA
ASV_273	Eukaryota	MAST-12	MAST-12D	NA	NA	NA	NA
ASV_274	Eukaryota	Florideophycidae	NA	NA	NA	NA	NA
ASV_275	NA	NA	NA	NA	NA	NA	NA
ASV_276	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_277	NA	NA	NA	NA	NA	NA	NA
ASV_278	Eukaryota	Cercozoa	Novel Clade 2	NA	NA	NA	NA
ASV_279	Eukaryota	Annelida	Polychaeta	Terebellida	NA	NA	NA
ASV_280	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_281	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group II	NA	NA
ASV_282	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_283	Eukaryota	Hemichordata	Enteropneusta	NA	Harrimaniidae	NA	NA
ASV_284	Eukaryota	NA	Choanoflagellida	NA	NA	NA	NA
ASV_285	Eukaryota	NA	Mamiellophyceae	Mamiellales	NA	Ostreococcus	NA
ASV_286	NA	NA	NA	NA	NA	NA	NA
ASV_287	Eukaryota	Diatomea	NA	NA	NA	NA	NA
ASV_288	NA	NA	NA	NA	NA	NA	NA
ASV_289	Eukaryota	NA	Dictyochophyceae	Pedinellales	NA	Pteridomonas	NA
ASV_290	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_291	Eukaryota	Annelida	Polychaeta	Spionida	NA	NA	NA
ASV_292	NA	NA	NA	NA	NA	NA	NA
ASV_293	NA	NA	NA	NA	NA	NA	NA
ASV_294	NA	NA	NA	NA	NA	NA	NA
ASV_295	NA	NA	NA	NA	NA	NA	NA
ASV_296	Eukaryota	NA	Ichthyosporea	Abeoformidae	NA	NA	NA
ASV_297	Eukaryota	Incertae Sedis_3	NA	NA	NA	Pirsonia	NA
ASV_298	Eukaryota	NA	Chrysophyceae	Ochromonadales	NA	Ochromonas	NA
ASV_299	Eukaryota	NA	NA	Cryptomonadales	NA	Teleaulax	NA
ASV_300	NA	NA	NA	NA	NA	NA	NA
ASV_301	Eukaryota	Diatomea	Mediophyceae	NA	NA	NA	NA
ASV_302	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_303	Eukaryota	Arthropoda	Maxillopoda	Poecilostomatoida	NA	NA	NA
ASV_304	Eukaryota	Retaria	Acantharia	Symphyacanthida	NA	Amphibelone	NA
ASV_305	NA	NA	NA	NA	NA	NA	NA
ASV_306	Eukaryota	NA	Mamiellophyceae	Mamiellales	NA	NA	NA
ASV_307	NA	NA	NA	NA	NA	NA	NA
ASV_308	Eukaryota	MAST-12	MAST-12D	NA	NA	NA	NA
ASV_309	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidium	NA
ASV_310	Eukaryota	MAST-1	MAST-1C	NA	NA	NA	NA
ASV_311	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_312	Eukaryota	Mollusca	Bivalvia	Veneroida	NA	NA	NA
ASV_313	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_314	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	NA	NA
ASV_315	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA
ASV_316	NA	NA	NA	NA	NA	NA	NA
ASV_317	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	NA	Gonyaulax	NA
ASV_318	NA	NA	NA	NA	NA	NA	NA
ASV_319	NA	NA	NA	NA	NA	NA	NA
ASV_320	Eukaryota	Florideophycidae	Rhodymeniophycidae	NA	NA	Champia	NA
ASV_321	NA	NA	NA	NA	NA	NA	NA
ASV_322	NA	NA	NA	NA	NA	NA	NA
ASV_323	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_324	NA	NA	NA	NA	NA	NA	NA
ASV_325	Eukaryota	Ciliophora	Intramacronucleata	Litostomatea	Haptoria	Didinium	NA
ASV_326	Eukaryota	Florideophycidae	Rhodymeniophycidae	NA	NA	Champia	NA
ASV_327	Eukaryota	NA	NA	Cryptomonadales	NA	Rhodomonas	NA
ASV_328	NA	NA	NA	NA	NA	NA	NA
ASV_329	NA	NA	NA	NA	NA	NA	NA
ASV_330	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_331	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_332	NA	NA	NA	NA	NA	NA	NA
ASV_333	Eukaryota	Cercozoa	Thecofilosea	NA	NA	NA	NA
ASV_334	NA	NA	NA	NA	NA	NA	NA
ASV_335	Eukaryota	NA	Chrysophyceae	Ochromonadales	NA	Paraphysomonas	NA
ASV_336	Eukaryota	Florideophycidae	Rhodymeniophycidae	NA	NA	NA	NA
ASV_337	NA	NA	NA	NA	NA	NA	NA
ASV_338	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_339	NA	NA	NA	NA	NA	NA	NA
